End time,Hora de fin,"Schedule, a pattern"
Ended,Terminado,"Schedule, Patterns"
Ends,Termina,"Schedule, Patterns"
Enforced,Se aplica,"Settings, Roles and Permissions, by person, a capability in force"
Enforced capabilities take effect immediately. Rolling out capabilities are saved against the person now and begin enforcing as each area is wired.,Los permisos que se aplican tienen efecto de inmediato. Los que están en implementación se guardan ahora para la persona y empiezan a aplicarse a medida que se conecta cada área.,"Settings, Roles and Permissions, by person"
English,Inglés,"HR Records, logging training for several people, the language a session was given in"
Enter,Ingrese,The sign-in card
Enter a new 4-digit PIN for this staff member.,Escriba un PIN nuevo de 4 dígitos para esta persona.,"Staff Management, Reset PIN"
Entity Type,Tipo de registro,"Forms, linking a submission to a record"
Equipment,Equipo,"Reports, a supply category; Reports, the supply report's filter and printed page"
Error,Error,"Forms, Settings, the sync log, a column"
Errors: {0},Errores: {0},"Forms, Submissions, the toast after the PDF backfill and the bulk upload"
Escalate to,Escalar a,"Cases, a case's window"
Escalated to,Escalado a,"Cases, a case's window"
Escalating sends that person an email. The email carries no case text.,"Al escalar, se envía un correo a esa persona. El correo no incluye el texto del caso.","Cases, a case's window, under Escalate to"
Escalation email,Correo de escalamiento,"Cases, a case's window, the access log"
Estimated cost,Costo estimado,"Reports, the supply report and its printed page; Reports, the supply report, a chart's legend and tooltip"
Estimated cost (USD),Costo estimado (USD),"Reports, the supply report, a chart's tooltip"
Estimated cost by period,Costo estimado por periodo,"Reports, the supply report's printed page"
Estimated cost by site,Costo estimado por sitio,"Reports, the supply report, a chart"
Estimated cost from logged usage at current prices,"Costo estimado a partir del uso registrado, a los precios actuales","Reports, the supply report"
Estimated cost split,Reparto del costo estimado,"Reports, the supply report, a chart"
Estimated cost trend,Tendencia del costo estimado,"Reports, the supply report, a chart"
"Estimated cost, top 10","Costo estimado, los 10 principales","Reports, the supply report, a chart"
Estimated supply cost per {0},Costo estimado de suministros por {0},"Reports, the supply report, a chart, {0} is day, week or month"
Evaluation saved,Evaluación guardada,"Vendors, adding an evaluation"
Evaluations,Evaluaciones,"Vendors, a vendor"
Events,Registros,"Reports, the supply report's printed page, usage events"
"Every email about this form carries everything the report says, to every person and address on these lists.","Cada correo sobre este formulario lleva todo lo que dice el informe, a cada persona y dirección de estas listas.","Settings, Who gets told"
Every form,Todos los formularios,"Settings, Who gets told"
"Every view, download, and print of an original Jotform PDF is recorded here with user, timestamp, IP, and success status. This log is append-only and survives submission deletion via text snapshots.","Cada vista, descarga e impresión de un PDF original de Jotform queda registrada aquí con la persona, la fecha y hora, la IP y el resultado. Este registro solo crece y se conserva aunque el envío se elimine, gracias a copias en texto.","Forms, PDF Access Log, the note at the top"
Everyone,Todos,"Schedule, Time off"
Everyone active,Todas las personas activas,"HR Records, logging training for several people, who attended"
Exp: {0},Vence: {0},"Staff Management, the HR Files tab and the Certifications tab, the day it expires"
Expand sidebar,Ampliar el panel lateral,The shell
Expired Docs,Docs. vencidos,"HR Records, Compliance"
Expired Documents,Documentos vencidos,"HR Records, Compliance"
Expired Items,Elementos vencidos,"HR Records, Compliance"
Expired Training,Capacitaciones vencidas,"HR Records, Compliance"
Expires in {0}d,Vence en {0} d,"HR Records, Documents, Training and Other"
Expires {0}d,Vence en {0} d,"HR Records, a folder"
Expiring (30 days),Por vencer (30 días),"HR Records, Compliance"
Expiring (30d),Por vencer (30 d),"HR Records, Employees, a filter"
Expiring Within 30 Days,Vencen en los próximos 30 días,"HR Records, Compliance"
Expiry,Vencimiento,"HR Records, Documents, Training and Other; Staff Management, the printed profile report; Forms, Form Library, a column; Forms, Submissions, a column; Forms, a submission's window"
Expiry Date,Fecha de vencimiento,"HR Records, adding a training record; Staff Management, Add Certification"
Expiry Date (optional),Fecha de vencimiento (opcional),"HR Records, adding a document"
Expiry in days (optional),Vencimiento en días (opcional),"Forms, editing a form"
Explain why this is being reassigned...,Explique por qué se reasigna...,"Issue Tracker, giving an issue to a person"
Explain why this task is being reassigned...,Explique por qué se reasigna esta tarea...,"Assigned Tasks, reassigning a task"
Export,Exportar,Service Catalog
Export AVL,Exportar la lista de aprobados,"Vendors, the list"
Export CSV,Exportar CSV,"Sites, Timeline; Inspections, Reports; Staff Management, the Timeline tab"
Export PDF,Exportar PDF,"Inspections, a completed inspection; Reports, a report being run; Settings, Roles and Permissions, the role reference"
Export data (CSV),Exportar datos (CSV),"Reports, Quick snapshots"
Extra Coverage,Cobertura adicional,Shift Pickup
Extra large,Muy grande,"The shell, the text size chooser"
Failed only,Solo fallidos,"Forms, PDF Access Log, a filter"
Failed to load aliases: {0},No se pudieron cargar los alias: {0},"Forms, Aliases, a toast"
Failed to load analytics: {0},No se pudieron cargar los análisis: {0},"Inspections, Reports"
Failed to load supplies,No se pudieron cargar los suministros,"Sites, Supplies"
Failure marked resolved.,Fallo marcado como resuelto.,"Forms, Sync Diagnostic, a toast"
Failures,Fallos,"Forms, Sync Diagnostic, a column"
Failures load failed: {0},No se pudieron cargar los fallos: {0},"Forms, Sync Diagnostic, a toast"
Fastest,Más rápido,Shift Pickup
Fetch error: {0},Error al obtener: {0},"Forms, Sync Diagnostic, a form's missing submissions"
Fetching from Jotform. This may take a moment for forms with many submissions...,Obteniendo de Jotform. Puede tardar un momento en formularios con muchos envíos...,"Forms, Sync Diagnostic, a form's missing submissions"
Fetching...,Obteniendo...,"Forms, Sync Diagnostic, while a submission is fetched"
File,Archivo,"HR Records, Documents and Other"
File fetch failed ({0}): {1},No se pudo obtener el archivo ({0}): {1},"HR Records; Staff Management, the HR Files tab"
File must be under 50MB,El archivo debe pesar menos de 50 MB,"Assigned Tasks, creating a task, a file that is too large; Sites"
Filed,Presentado,"Forms, Filed forms, a column"
Filed by,Presentado por,"Forms, Filed forms, a column"
Filed by {0},Presentado por {0},"Forms, a filed report, who filed it"
Filed forms,Formularios presentados,"Forms, the tab, and the page's title for anyone but an admin"
Filed {0},Presentado el {0},"Forms, a filed report, when it was filed"
Filing email to the team,Correo de presentación al equipo,"Cases, a case's window, the access log"
Fill Rate,Tasa de cobertura,Shift Pickup
Fill Rate by Reason,Tasa de cobertura por motivo,Shift Pickup
"Fill this in at your desk. Answers are saved when you press Save, and a sign-off is made with its own button.","Complete esta sección en su escritorio. Las respuestas se guardan al presionar Guardar, y la firma se hace con su propio botón.","Forms, a filed report, the supervisor section a person can fill in"
Filled through {0},Cubierto hasta el {0},"Schedule, Patterns, how far a pattern reaches"
Filter: {0},Filtro: {0},"Sites, the printed timeline; Staff Management, the printed timeline"
First Name,Nombre,"Staff Management, the Profile tab, the form; Staff Management, Edit Staff Info"
First Name *,Nombre *,"Staff Management, Add New Staff"
First Name A-Z,Nombre A-Z,"HR Records, Employees, the order"
First response (h),Primera respuesta (h),"Reports, adding or editing an issue report, a service level target"
"First response (h, median)","Primera respuesta (h, mediana)","Reports, the issue report, the trend chart's legend and tooltip"
Fl {0},Piso {0},"Shift Pickup, the floor on the shift line in a window; Assigned Tasks, where a task is; Sites, Service Details"
Floor,Piso,"Schedule, a pattern; Schedule; Shift Pickup; Assigned Tasks, the task window; Assigned Tasks, creating a task; Sites, adding or editing a task; Settings, Site Lookups"
Floor Plans ({0}),Planos ({0}),"Sites, General Info"
Floor plan removed,Plano quitado,"Sites, General Info"
Floor plan uploaded,Plano subido,"Sites, General Info"
Floor {0},Piso {0},"Schedule and Shift Pickup, a shift card; Assigned Tasks, the floor filter; Live Operations, where a person is"
Floor: {0},Piso: {0},"Shift Pickup, a shift card"
Floors,Pisos,"Settings, Site Lookups"
Folders API,API de carpetas,"Forms, Settings, the diagnostic"
Folders found,Carpetas encontradas,"Forms, Settings, the diagnostic"
For,Por,"Schedule, adding a shift, repeat for a number of weeks"
"For HR documents, you can also link from the HR Records page by selecting a synced submission in the Add Document modal.","Para documentos de personal, también puede vincular desde Expedientes de personal eligiendo un envío sincronizado en la ventana Agregar documento.","Forms, linking a submission to a record"
Force Fetch,Forzar descarga,"Forms, Sync Diagnostic, the missing submissions"
Force-fetch failed: {0},La descarga forzada falló: {0},"Forms, Sync Diagnostic, a toast"
Force-fetched {0} ({1}){2},Se forzó la descarga de {0} ({1}){2},"Forms, Sync Diagnostic, a toast"
Form,Formulario,"Forms, Filed forms, a column and the form filter; Forms, Submissions, a column; Forms, PDF Access Log, a column; Forms, Settings, the sync log; Forms, Sync Diagnostic, the failures; Forms, a submission's window"
Form Detail,Detalle del formulario,"Forms, Settings, the diagnostic"
Form Library,Biblioteca de formularios,"Forms, a tab"
Form Title,Título del formulario,"Forms, Sync Diagnostic, a column"
"Form catalog sync pulls the list of Jotform forms. Submissions sync pulls only new or updated submissions for enabled forms. Full Refresh bypasses the incremental filter and re-pulls every submission for every enabled form (use sparingly, see warning).","La sincronización del catálogo trae la lista de formularios de Jotform. La sincronización de envíos trae solo los envíos nuevos o actualizados de los formularios habilitados. La actualización completa omite el filtro incremental y vuelve a traer cada envío de cada formulario habilitado (úsela con moderación, vea la advertencia).","Forms, Settings"
Form default: {0},Del formulario: {0},"HR Records, a folder, a form's category"
Form updated,Formulario actualizado,"Forms, Form Library, the toast after a form is saved"
Forms,Formularios,"The shell; HR Records, Compliance"
Forms & Jotform Integration,Formularios e integración con Jotform,"Forms, the page's title for an admin"
Forms load failed: {0},No se pudieron cargar los formularios: {0},"Forms, a toast"
Forms with Gaps,Formularios con faltantes,"Forms, Sync Diagnostic, a tile"
Forms:,Formularios:,"Forms, the Jotform line at the top"
French,Francés,"HR Records, logging training for several people, the language a session was given in"
Fri,Vie,Schedule; Shift Pickup
Friday,Viernes,"Settings, the Company tab, the day a pay period starts"
From: {0},Desde: {0},"Sites, the printed timeline; Staff Management, the printed timeline"
Full Refresh,Actualización completa,"Forms, Settings"
Full Refresh. Read Before Running.,Actualización completa. Lea esto antes de ejecutarla.,"Forms, Settings, the full refresh window"
Full Time,Tiempo completo,"Staff Management, the printed profile report, an employment type"
Full name,Nombre completo,"Staff Management, the Profile tab, the form, an example"
"Full refresh complete. Processed {0} submissions ({1} new, {2} updated) across {3} form(s)","Actualización completa terminada. Se procesaron {0} envíos ({1} nuevos, {2} actualizados) en {3} formulario(s)","Forms, Settings, the toast after a full refresh"
Full refresh failed: {0},La actualización completa falló: {0},"Forms, Settings, a toast"
F{0},P{0},"Schedule, Week, the floor beside a building name, short"
General,General,"Issue Tracker and Assigned Tasks, the zone when none is set; Inventory, a request for no one supply"
General Info,Información general,"Sites, a site's profile"
Generated by {0} Operations Platform,Generado por la plataforma de operaciones de {0},"Inspections, the printed reports"
Generated {0},Generado el {0},"Sites, the printed chat history and timeline, the date printed; Staff Management, the printed timeline; HR Records, the printed attendance sheet"
Given in English,Impartida en inglés,"HR Records, logging training for several people, the line a record's notes carry, saved in English; HR Records, Training, a training's session; HR Records, the printed attendance sheet"
Given in French,Impartida en francés,"HR Records, logging training for several people, the line a record's notes carry, saved in English; HR Records, Training, a training's session; HR Records, the printed attendance sheet"
Given in Spanish,Impartida en español,"HR Records, logging training for several people, the line a record's notes carry, saved in English; HR Records, Training, a training's session; HR Records, the printed attendance sheet"
Green,Ecológico,"Sites, Supplies, a supply with a green certification; Inventory, a supply with a green certification; Reports, the supply report's printed page"
Green Buildings,Edificios sostenibles,"Sites, Service Details, a service category; Service Catalog, a service's category"
Green Cert Type,Tipo de certificación ecológica,"Inventory, adding or editing a supply"
Green Certified Product,Producto con certificación ecológica,"Inventory, adding or editing a supply"
Green certified,Con certificación ecológica,"Reports, the supply report, a chart's legend"
Green-certified share,Proporción con certificación ecológica,"Reports, adding or editing a supply report"
Green-certified share of cost,Proporción del costo con certificación ecológica,"Reports, the supply report, a chart"
Green-certified share of estimated cost: {0} of {1},Proporción del costo estimado con certificación ecológica: {0} de {1},"Reports, the supply report's printed page"
HR - Onboarding,RR. HH. - Incorporación,"HR Records, a record's category"
HR - Ongoing / Annual,RR. HH. - Continuo / Anual,"HR Records, a record's category"
HR Document,Documento de personal,"Forms, linking a submission, a kind of record"
HR Files,Archivos de personal,"Staff Management, a person's profile, a tab"
HR Onboarding Step,Paso de incorporación,"Forms, linking a submission, a kind of record"
HR Records,Expedientes de personal,The shell
HR Training Record,Registro de capacitación,"Forms, linking a submission, a kind of record"
Hand over,Entregar,"Cases, a case's window"
Hand to,Entregar a,"Cases, a case's window"
Has details,Tiene detalles,"Sites, Service Details"
Has original PDF (show PDF buttons),Tiene PDF original (mostrar los botones de PDF),"Forms, editing a form"
Hawaii Time (Honolulu),Hora de Hawái (Honolulu),"Settings, the Company tab, a time zone"
"Health, Safety & Environment","Salud, seguridad y medio ambiente","Sites, Service Details, a service category; Service Catalog, a service's category"
Held by,A cargo de,"Cases, the list, a column; Cases, a case's window"
Help,Ayuda,The shell; Help
Hide,Ocultar,"Live Operations, hiding the people who have not started; Forms, Sync Diagnostic"
Hide manual entry,Ocultar la entrada manual,"HR Records, adding a document"
Hide test accounts,Ocultar las cuentas de prueba,"HR Records, Employees"
High,Alta,"Reports, a severity, which agrees with severidad; Reports, the issue report's filter and printed page; Reports, the issue report, a chart's legend"
Higher means more spend,Más alto significa más gasto,"Reports, the supply report, a chart"
Hire Date,Fecha de contratación,"Staff Management, the printed profile report; Staff Management, the Profile tab"
Hire Date (newest),Fecha de contratación (más reciente),"HR Records, Employees, the order"
Hire Date (oldest),Fecha de contratación (más antigua),"HR Records, Employees, the order"
Hired {0},Contratación: {0},"HR Records, a folder"
Hourly Rate,Tarifa por hora,"Staff Management, the printed profile report; Staff Management, the Profile tab"
Hours,Horas,"Schedule, Patterns; Schedule, Time off; Schedule, a time off request; Staff Management, the printed profile report"
"Hours, lower is better","Horas, menos es mejor","Reports, the issue report, a chart"
How aliases work.,Cómo funcionan los alias.,"Forms, Aliases, the note"
How is this service priced?,¿Cómo se cobra este servicio?,"Service Catalog, adding or editing a service"
How to read this.,Cómo leer esto.,"Forms, Sync Diagnostic, the note"
Human Resources,Recursos humanos,"Sites, Service Details, a service category; Service Catalog, a service's category"
ID {0},ID {0},"Forms, Submissions, the toast after auto-link, how each match was made"
IP,IP,"Forms, PDF Access Log, a column"
In Progress,En curso,"Assigned Tasks, the state filter; Inspections, Scheduled, a filter"
In app,En la aplicación,"Settings, Who gets told"
Inactive only,Solo inactivas,"HR Records, Employees, the status filter, which agrees with personas"
Inheriting form's category. Pick a value to override.,Usa la categoría del formulario. Elija un valor para cambiarla.,"HR Records, a folder, a form's category"
Initialize Onboarding,Iniciar la incorporación,"HR Records, Onboarding"
Inspection,Inspección,"Schedule; Inspections, Scheduled and Completed; Forms, linking a submission, a kind of record"
Inspection Analytics Report,Informe de análisis de inspecciones,"Inspections, Reports, the printed report"
Inspection Details,Detalles de la inspección,Schedule
Inspection Report,Informe de inspección,"Inspections, an inspection's printed report"
Inspection Scores and Quality,Puntajes de inspección y calidad,"Reports, the inspection report and its printed page"
Inspection Templates,Plantillas de inspección,"Inspections, Templates"
Inspection and Quality,Inspecciones y calidad,"Reports, a report's source"
Inspection cancelled,Inspección cancelada,"Schedule; Inspections, an inspection"
Inspection photo,Foto de la inspección,"Inspections, an inspection, a line item's photo"
Inspection report settings,Configuración del informe de inspecciones,"Reports, adding or editing an inspection report"
Inspection rescheduled,Inspección reprogramada,Schedule
Inspection results over the selected period,Resultados de las inspecciones en el periodo seleccionado,"Reports, the inspection report"
Inspection scheduled,Inspección programada,"Inspections, scheduling an inspection"
Inspection score percent,Porcentaje de puntaje de inspección,"Reports, the inspection report, a chart"
Inspection score trend,Tendencia del puntaje de inspección,"Reports, the inspection report, a chart"
Inspection scores by site,Puntajes de inspección por sitio,Dashboard
Inspection templates and scheduling,Plantillas y programación de inspecciones,"Settings, Roles and Permissions, a capability's name"
Inspection updated,Inspección actualizada,"Inspections, editing a scheduled inspection"
Inspections,Inspecciones,"The shell; Schedule; Sites; Inspections, Reports, the printed report; Reports, the inspection report and its printed page; Staff Management, Timeline, a kind of entry"
Inspections (Last 30 Days),Inspecciones (últimos 30 días),"Sites, Shifts & Schedule"
Inspections in period,Inspecciones en el periodo,"Reports, the inspection report's printed page"
Inspections: templates and scheduling,Inspecciones: plantillas y programación,"Settings, Roles and Permissions, the role reference"
Install,Instalar,"The add to home screen sheet, the button on Android"
Integrations,Integraciones,The shell
Integrations and forms,Integraciones y formularios,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, a capability's name"
Internal notes about this employee...,Notas internas sobre esta persona...,"Staff Management, the Profile tab, the form, an example"
Inventory,Inventario,The shell
Inventory ({0}),Inventario ({0}),"Inventory, a tab"
Inventory usage and requests,Uso del inventario y solicitudes,"Settings, Roles and Permissions, the role reference"
Issue,Incidencia,"Issue Tracker, the issue photo for a screen reader; Assigned Tasks, a task made from an issue; Forms, linking a submission, a kind of record"
Issue Detail,Detalle de la incidencia,"Issue Tracker, the issue window"
Issue Response and Resolution,Respuesta y resolución de incidencias,"Reports, the issue report and its printed page; Reports, a report's source"
Issue Tracker,Registro de incidencias,The shell; Issue Tracker
Issue report settings,Configuración del informe de incidencias,"Reports, adding or editing an issue report"
Issue to task assignment,Asignación de incidencias a tareas,"Settings, Roles and Permissions, the role reference"
Issued Date,Fecha de emisión,"Staff Management, Add Certification"
Issuer,Entidad emisora,"Staff Management, the printed profile report, the certifications"
Issues,Incidencias,"The shell; Sites, Timeline; Staff Management, Timeline, a kind of entry"
Issues Report,Informe de incidencias,"Reports, Quick snapshots, a CSV export"
Issues Summary,Resumen de incidencias,"Reports, Quick snapshots"
Issues: report and track,Incidencias: informar y dar seguimiento,"Settings, Roles and Permissions, the role reference"
Issuing Body,Entidad emisora,"Staff Management, Add Certification"
"It opens like an app, one tap from your home screen.","Se abre como una aplicación, a un toque desde su pantalla de inicio.","The add to home screen sheet, under the title"
Item,Elemento,"Inspections, Reports; Inspections, the printed reports; Reports, the inspection report's printed page; Forms, a filed report, a checklist's first column"
Item Label *,Nombre del elemento *,"Inspections, a template, adding a line item"
Item added,Elemento agregado,"Inspections, a template, adding a line item"
Item label,Nombre del elemento,"Inspections, a template, editing a line item"
Item removed,Elemento quitado,"Inspections, a template"
Item saved,Elemento guardado,"Inspections, a template, editing a line item"
Items Scored,Elementos calificados,"Inspections, Reports, the printed report"
JOTFORM_API_KEY not configured,JOTFORM_API_KEY no está configurada,"Forms, when the API has no Jotform key"
Jotform,Jotform,"Forms, Sync Diagnostic, a column"
"Jotform API limits vary by account tier. Free accounts allow 1,000 calls per day. Each enabled form costs one API call, plus one per 1,000 submissions. If you have many forms with many submissions, a full refresh could consume a large portion of your daily quota.","Los límites de la API de Jotform dependen del tipo de cuenta. Las cuentas gratuitas permiten 1,000 llamadas por día. Cada formulario habilitado cuesta una llamada, más una por cada 1,000 envíos. Si tiene muchos formularios con muchos envíos, una actualización completa puede consumir gran parte de su cuota diaria.","Forms, Settings, the full refresh window"
Jotform Account,Cuenta de Jotform,"Forms, Settings"
Jotform Form,Formulario de Jotform,"HR Records, a folder, where a record came from"
Jotform Form ID,ID del formulario en Jotform,"Forms, editing a form"
Jotform Reference,Referencia de Jotform,"HR Records, editing a document"
Jotform Submission (optional),Envío de Jotform (opcional),"HR Records, adding a document"
Jotform Submission ID,ID del envío en Jotform,"Forms, Sync Diagnostic, the missing submissions, a column"
Jotform Submissions,Envíos en Jotform,"Forms, Sync Diagnostic, a tile"
Jotform is not configured. Use the manual entry below.,Jotform no está configurado. Use la entrada manual de abajo.,"HR Records, adding a document"
Jotform submission ID or URL,ID o enlace del envío de Jotform,"HR Records, adding or editing a document"
Jotform:,Jotform:,"Forms, the Jotform line at the top; Forms, Sync Diagnostic, a form's missing submissions"
Keep at least one of Email or In app on.,Deje activado al menos Correo o En la aplicación.,"Settings, Who gets told"
Key Status,Estado de la clave,"Forms, Settings"
Key:,Clave:,"Forms, the Jotform line at the top"
LIVE,EN VIVO,The shell
Label,Nombre,"Sites, General Info, a floor plan's name; Settings, Dropdown Options; Settings, Site Lookups"
Label (displayed),Nombre (se muestra),"Settings, Dropdown Options"
Label (displayed) *,Nombre (se muestra) *,"Settings, Dropdown Options"
Label *,Nombre *,"Settings, Dropdown Options"
Label and slug required,El nombre y el identificador son obligatorios,"Settings, Dropdown Options"
Label and zone required,La descripción y la zona son obligatorias,"Sites, adding a task"
Labels API,API de etiquetas,"Forms, Settings, the diagnostic"
Labels found,Etiquetas encontradas,"Forms, Settings, the diagnostic"
Labor reports,Informes de mano de obra,"Settings, Roles and Permissions, the role reference"
Language,Idioma,"The shell, the language chooser"
Language it was given in,Idioma en que se impartió,"HR Records, logging training for several people"
Large,Grande,"The shell, the text size chooser"
Largest,Máximo,"The shell, the text size chooser"
Last 30 Days,Últimos 30 días,"The shell, the date range; Shift Pickup; Inspections, Reports, the dates; Reports, adding or editing a report, the default range; Reports, a report's date range"
Last 60 Days,Últimos 60 días,"Inspections, Reports, the dates; Reports, adding or editing a report, the default range; Reports, a report's date range"
Last 90 Days,Últimos 90 días,"The shell, the date range; Inspections, Reports, the dates; Reports, adding or editing a report, the default range; Reports, a report's date range"
Last Inspection,Última inspección,"Sites, Shifts & Schedule"
Last Matched,Última coincidencia,"Forms, Aliases, a column"
Last Name,Apellido,"Staff Management, the Profile tab, the form; Staff Management, Add New Staff; Staff Management, Edit Staff Info"
Last Name A-Z,Apellido A-Z,"HR Records, Employees, the order"
Last Name Z-A,Apellido Z-A,"HR Records, Employees, the order"
Last Review Date,Fecha de la última revisión,"Vendors, adding or editing a vendor"
Last Sync,Última sincronización,"Forms, Form Library, a column"
Last Sync:,Última sincronización:,"Forms, the Jotform line at the top"
Last Synced,Última sincronización,"Forms, Sync Diagnostic, a column"
Last Week,La semana pasada,"The shell, the date range; Schedule; Shift Pickup"
Last activity,Última actividad,"HR Records, Employees, a card"
Last day,Último día,"Schedule, a pattern"
Last refreshed: {0},Última actualización: {0},"Forms, Sync Diagnostic"
Last updated,Última actualización,"Cases, a case's window"
Last {0} to {1},Del {0} al {1},"Inspections, Reports, the printed report's dates"
Latest,Más reciente,"Reports, the inspection report's printed page, a site's latest score"
Latest Date,Última fecha,"Inspections, Reports, the printed report"
Latest Score,Último puntaje,"Inspections, Reports, the printed report"
Latest: {0},Última: {0},"Inspections, Reports, a site's latest inspection, which agrees with inspección"
Lead Time (days),Tiempo de entrega (días),"Vendors, linking a supply"
Legal / Consent,Legal / Consentimiento,"HR Records, a record's category"
Legal name,Nombre legal,"Settings, the Company tab"
Light Mode,Modo claro,The shell
Light mode,Modo claro,The shell
Link,Vínculo,"Forms, Submissions, a column"
Link Site,Vincular un sitio,"Service Catalog, a service; Service Catalog, linking a site"
Link Site to Service,Vincular un sitio al servicio,"Service Catalog, linking a site"
Link Submission to Record,Vincular el envío a un registro,"Forms, linking a submission to a record"
Link Supply,Vincular un suministro,"Vendors, a vendor; Vendors, linking a supply"
Link Supply to Vendor,Vincular un suministro al proveedor,"Vendors, linking a supply"
Link failed: {0},No se pudo vincular: {0},"Forms, a submission's window, a toast"
Link to Record,Vincular a un registro,"Forms, a submission's window"
Link to the app,Enlace a la aplicación,"Settings, Who gets told"
Link to user...,Vincular a una persona...,"Forms, a submission's window"
Link: Any,Vínculo: todos,"Forms, Submissions, a filter"
Linked,Vinculado,"Forms, Submissions, a status; Forms, a submission linked to a record"
Linked Supplies,Suministros vinculados,"Vendors, a vendor"
Linked only,Solo vinculados,"Forms, Submissions, a filter"
Linked to user,Vinculado a la persona,"Forms, a submission's window, a toast"
Linked to {0},Vinculado a {0},"Forms, a submission's window, the record it is linked to"
Linked. New {0} alias recorded.,Vinculado. Se registró un nuevo alias de {0}.,"Forms, a submission's window, linking it to a person"
Linked. Warning: {0}. Review the Aliases tab to resolve.,Vinculado. Aviso: {0}. Revise la pestaña Alias para resolverlo.,"Forms, a submission's window, linking it to a person"
Linking...,Vinculando...,"Forms, Submissions, while auto-link runs"
Live Answers (fetched from Jotform),Respuestas en vivo (obtenidas de Jotform),"Forms, a submission's window"
Live Operations,Operaciones en vivo,The shell
Live Ops,Operaciones en vivo,The shell
Load More,Ver más,"Sites, Timeline"
Load more,Ver más,"The bell; Forms, Filed forms"
Loading HR files...,Cargando los archivos de personal...,"Staff Management, the HR Files tab"
Loading aliases...,Cargando los alias...,"Forms, Aliases"
Loading analytics...,Cargando los análisis...,"Inspections, Reports"
Loading buildings...,Cargando los edificios...,Schedule
Loading cases...,Cargando los casos...,"Cases, the list"
Loading company settings...,Cargando la configuración de la empresa...,"Settings, the Company tab"
Loading folder...,Cargando la carpeta...,"HR Records, a folder"
Loading from Jotform...,Cargando desde Jotform...,"Forms, a submission's window"
Loading patterns...,Cargando los patrones...,"Schedule, Patterns"
Loading permissions...,Cargando los permisos...,"Settings, Roles and Permissions, by person"
Loading record details...,Cargando los datos del registro...,"Staff Management, a record's window"
Loading reports...,Cargando los informes...,"Reports, the library; Forms, Filed forms"
Loading schedule...,Cargando el horario...,Schedule
Loading settings...,Cargando la configuración...,"Settings, the page"
Loading submissions...,Cargando los envíos...,"HR Records, adding a document"
Loading team...,Cargando el equipo...,"Settings, Roles and Permissions, by person"
Loading time off...,Cargando el tiempo libre...,"Schedule, Time off"
Loading timeline...,Cargando el historial...,"Staff Management, the Timeline tab"
Loading...,Cargando...,"The shell; The bell; Dashboard; Schedule, a pattern; Shift Pickup; Assigned Tasks; Sites; HR Records; Reports, a report being run; Settings, Who gets told; HR Records, Training, who has no record of a training; Forms, a filed report; Forms, Sync Diagnostic; Forms, Aliases"
Locked on,Siempre activo,"Settings, Roles and Permissions, by person"
Log training for several people,Registrar capacitación de varias personas,"HR Records, Training; HR Records, logging training for several people"
Logo,Logotipo,"Settings, the Company tab"
Logo must be an image file,El logotipo debe ser un archivo de imagen,"Settings, the Company tab"
Logo must be under 10MB,El logotipo debe pesar menos de 10 MB,"Settings, the Company tab"
Logo uploaded. Click Save to keep it.,Logotipo subido. Haga clic en Guardar para conservarlo.,"Settings, the Company tab"
Logout,Cerrar sesión,The shell
Low,Baja,"Reports, a severity, which agrees with severidad; Reports, the issue report's filter and printed page; Reports, the issue report, a chart's legend"
Low Stock,Existencias bajas,"Inventory, a supply below its threshold"
Low Threshold,Existencias mínimas,"Inventory, adding or editing a supply"
Lowest Scoring Items,Elementos con el puntaje más bajo,"Inspections, Reports"
Lowest-scoring items,Elementos con el puntaje más bajo,"Reports, adding or editing an inspection report; Reports, the inspection report, a chart and its printed page"
Manage roles and permissions,Administrar roles y permisos,"Settings, Roles and Permissions, a capability's name"
Management Commitment,Compromiso de la dirección,"Sites, Service Details, a service category; Service Catalog, a service's category"
Manual time entry and shift edits,Registro manual de horas y cambios de turnos,"Settings, Roles and Permissions, the role reference; Settings, Roles and Permissions, a capability's name"
Manually linking a submission via the Submissions tab automatically records aliases. You can also add them above.,Vincular a mano un envío desde la pestaña Envíos registra alias automáticamente. También puede agregarlos arriba.,"Forms, Aliases"
Manufacturer,Fabricante,"Inventory, adding or editing a supply"
Mark Reviewed,Marcar como revisado,"Forms, a submission's window"
Mark all read,Marcar todo como leído,The bell
Mark as preferred vendor for this supply,Marcar como proveedor preferido de este suministro,"Vendors, linking a supply"
Marketplace,Tablero,"Sites, Timeline; Staff Management, Timeline, a kind of entry"
Marketplace Coverage (Last 30 Days),Cobertura en el tablero (últimos 30 días),"Sites, Shifts & Schedule"
Matched Employee,Persona asociada,"Forms, Submissions, a column; Forms, a submission's window"
Matched: {0},Coincidentes: {0},"Forms, Submissions, the toast after the PDF backfill and after auto-link"
Matches,Coincidencias,"Forms, Aliases, a column"
Max Score (points),Puntaje máximo (puntos),"Inspections, a template, adding a line item"
Max score,Puntaje máximo,"Inspections, a template, editing a line item"
Median,Mediana,Shift Pickup
Median (min),Mediana (min),Shift Pickup
Median first response,Mediana de primera respuesta,"Reports, the issue report and its printed page"
